type, name, country, latitude, longitude, elevation, population
city, Porto, PT, 41.14961, -8.61099, 97, 249633
city, Coimbra, PT, 40.20564, -8.41955, 98, 106582
city, Braga, PT, 41.55032, -8.42005, 188, 121394
city, San Lorenzo, PY, -25.33968, -57.50879, 119, 227876
city, Lambaré, PY, -25.34682, -57.60647, 119, 126377
city, Fernando de la Mora, PY, -25.3386, -57.52167, 122, 120167
city, Ciudad del Este, PY, -25.50972, -54.61111, 186, 320782
city, Capiatá, PY, -25.3552, -57.44545, 130, 198553
city, Asunción, PY, -25.30066, -57.63591, 133, 1482200
city, Ar Rayyān, QA, 25.29194, 51.42444, 23, 272465
