name,iata,type,latitude,longitude
Praia Int'l,RAI,mid,14.944988935283243,-23.486201988358683
Marrakech-Menara,RAK,mid,31.60229465977643,-8.024605359079887
Rarotonga Int'l,RAR,mid,-21.20098217246316,-159.7981563083873
Siem Reap Int'l,REP,major,13.408796969353801,103.81578052811155
Hermes Quijada Int'l,RGA,mid,-53.7814746058316,-67.75302684626753
Piloto Civil Norberto Fernandez Int'l,RGL,mid,-51.61169808554019,-69.30647117767309
Reno-Tahoe Int'l,RNO,major,39.505849901470334,-119.77528330810486
Roman Tmetuchl Int'l,ROR,mid,7.364495536129204,134.5329534661587
Amilcar Cabral Int'l,SID,mid,16.734793269338514,-22.9440574079648
Sarajevo,SJJ,major,43.825887224679725,18.336618545712724
Robert L. Bradshaw Int'l,SKB,mid,17.311125840442042,-62.714212504731584
Martín Miguel de Güemes Int,SLA,mid,-24.84437427133154,-65.47847604377958
Saipan Int'l,SPN,mid,15.121516719766413,145.7236946586376
Juana Azurduy de Padilla Int'l,SRE,mid,-19.01391579246574,-65.29286313878465
Princess Juliana Int'l,SXM,major,18.042244021474033,-63.1122760858602
Ta'izz Int'l,TAI,mid,13.685497002557412,44.134782731062046
Qingdao Liuting Int'l,TAO,mid,36.267757808103866,120.3806859490605
Chuuk Int'l,TKK,mid,7.457617802884429,151.84204603740326
Tangier Ibn Battouta,TNG,mid,35.725765640927385,-5.912880876559137
Bonriki Int'l,TRW,mid,1.3806686975383045,173.14599079530137
Astana Int'l,TSE,major,51.0269352907712,71.46094413999357
Tianjin Binhai Int'l,TSN,major,39.12946099090075,117.35272315991853
Townsville,TSV,major and military,-19.256181437621244,146.77067890477002
Teniente Gen. Benjamin Matienzo Int'l,TUC,mid,-26.835731005071423,-65.10812462362482
Aeroport Tunis,TUN,major,36.84744821772193,10.21769924471112
Tucson Int'l,TUS,major,32.12035234418979,-110.93771323213196
Chinggis Khaan Int'l,ULN,mid,47.852526096668434,106.76287399492858
Urumqi Diwopu Int'l,URC,major,43.898338219365286,87.46712984878084
Bauerfield Int'l,VLI,mid,-17.701699068178094,168.3196227396616
Wewak Int'l,WWK,mid,-3.5802268944474442,143.66910229969758
Chalons Vatry,XCR,military mid,48.78039461385664,4.19111982574289
Xiamen Gaoqi Int'l,XMN,major,24.537192570557004,118.12696884672026
Yap Int'l,YAP,mid,9.497917333613481,138.08643028361917
Playa de Oro Int'l,ZLO,mid,19.148086028585354,-104.56009520009748
Cayenne – Rochambeau,CAY,mid,4.821267143089237,-52.363806857235694
Irkutsk N.W.,UIIR,mid,52.36164767001315,104.19735928449404
Shijiazhuang Zhengding Int'l,SJW,major,38.27814091311202,114.6922665989016
Heydar Aliyev Int'l,GYD,major,40.46274688390803,50.04983948674051
Lakatamia Airbase,LAK,military mid,35.10634480673619,33.322201334898956
Cabo Frio Int'l,CFB,mid,-22.925631709132773,-42.079251752018415
Helsinki-Malmi,HEM,mid,60.24937784995868,25.045535369831455
Luxembourg-Findel,LUX,major,49.63430409251016,6.216421217287305
Venice Marco Polo,VCE,major,45.504847758845486,12.341067300436913
Yangyang Int'l,YNY,mid,38.058782416258545,128.66298866883957
Tabatinga Int'l,TBT,mid,-4.250324694933793,-69.93947393390899
Boa Vista Int'l,BVB,mid,2.84119534121157,-60.69222063386823
Gran Canaria,LPA,major,27.936889971657408,-15.389924515846113
Com. Armando Tola Int'l,ING,mid,-50.283900869003766,-72.05385691012962
Stockholm-Skavsta,NYO,mid,58.785104130344784,16.92160555842542
Polonia Int'l,MES,mid,3.5665917999089403,98.67619257146407
Bangui M'Poko Int'l,BGF,mid,4.398851536959572,18.524123630208024
Hangzhou Xiaoshan Int'l,HGH,major,30.235186279041436,120.43209737631294
