name,latitude,longitude
Townsville,-19.25083333,146.8247939
Weipa,-12.67,141.8666667
Whyalla,-33.03833333,137.5907538
Wyndham,-15.45138889,128.1008834
Brussel (Bruxelles),50.88611111,4.386160188
Gent (Ghent),51.11444444,3.76737338
Ilheus,-14.78027778,-39.02567727
Maceio,-9.678888889,-35.72232038
Natal,-5.783055556,-35.2
Rio Grande,-32.05611111,-52.0762073
Vitoria,-20.32333333,-40.33510012
Ocean Falls,52.35083333,-127.6888104
Argentia,47.29305556,-53.9868669
Bathurst,47.61666667,-65.65
Gaspe,48.82444444,-64.43722026
Port Alberni,49.23,-124.8193168
Powell River,49.835,-124.5247939
Sept-Iles,50.20638889,-66.38386337
Sydney,46.14194444,-60.20300353
Trois-Rivieres (Three Rivers),46.33583333,-72.53898704
Yarmouth,43.83555556,-66.12090695
Rimouski,48.47777778,-68.50812721
Riviere-du-Loup,47.84666667,-69.56808009
Saint-Anthony,51.36666667,-55.57709069
Summerside,46.38861111,-63.78704358
Arica,-18.47305556,-70.32196702
Tocopilla,-22.08611111,-70.20565371
Beihai,21.45861111,109.0705536
Jiangmen,22.5025,113.0019435
Wenzhou,27.99833333,120.8847468
Yantai,37.57111111,121.388987
Zhuhai,22.23972222,113.5842167
Santa Marta,11.25194444,-74.21702002
Buenaventura,3.883055556,-77.05335689
Praia,14.94472222,-23.50318021
Golfito,8.637777778,-83.16666667
Cienfuegos,22.14,-80.45371025
Manzanillo,20.3375,-77.13351001
Matanzas,23.05138889,-81.53704358
Santiago de Cuba,20.00166667,-75.85671378
Emden,53.34611111,7.192873969
Flensburg,54.80333333,9.436866902
Wilhelmshaven,53.53,8.122143698
Esbjerg,55.46555556,8.433863369
Odense,55.4175,10.3868669
Sonderborg,54.90694444,9.776737338
Ronne,55.09611111,14.68775029
Barahona,18.21222222,-71.08651355
Cabo Rojo,17.92527778,-71.654947
Oran,35.7125,-0.636690224
A Coruna,43.36305556,-8.387926973
Almeria,36.83222222,-2.471260306
Gijon,43.55861111,-5.688633687
San Sebastian,43.32277778,-1.986866902
Santander,43.44222222,-3.804946996
Tarragona,41.09611111,1.220200236
Oulu,65.01583333,25.45459364
Bayonne,43.51972222,-1.493757362
Boulogne-sur-Mer,50.72361111,1.575500589
Brest,48.38055556,-4.471436985
Cannes,43.54805556,7.009187279
Cherbourg,49.65222222,-1.617550059
Dieppe,49.92638889,1.08598351
Granville,48.83472222,-1.601060071
La Rochelle,46.14666667,-1.157773852
Lorient,47.73416667,-3.352120141
Morlaix,48.58527778,-3.834923439
Rochefort,45.94916667,-0.953003534
Toulon,43.11055556,5.904770318
Owendo,0.288333333,9.500883392
Aberdeen,57.14222222,-2.074617197
Liverpool,53.43638889,-3.007243816
Plymouth,50.36472222,-4.154063604
Portsmouth,50.8075,-1.1
Batumi,41.64888889,41.65053004
Kavala,40.93138889,24.40194346
Chios,38.37722222,26.13775029
Kalamata,37.02277778,22.10812721
Patras,38.25444444,21.73492344
Volos,39.35277778,22.93669022
Uummannaq,70.67472222,-52.11914016
Puerto Barrios,15.72833333,-88.6040636
Pula,44.87166667,13.83474676
Rijeka,45.3275,14.42232038
Split,43.515,16.42550059
Banjarmasin,-3.321944444,114.5553004
Tanjung Pandan,-2.75,107.6270907
Port Blair,11.67222222,92.72391048
Kandla,23.01361111,70.22232038
Pondicherry,11.91416667,79.82232038
Cork,51.90111111,-8.424440518
Galway,53.27,-9.043757362
Bushehr,28.98472222,50.8368669
Ancona,43.61833333,13.49234393
Bari,41.13694444,16.85530035
Cagliari,39.20416667,9.107597173
Olbia,40.92277778,9.517903416
Pescara,42.46777778,14.2237338
Reggio Calabria,38.12444444,15.64375736
Trapani,38.01361111,12.50388693
Aomori,40.83138889,140.742874
Hakodate,41.78777778,140.7090106
Kagoshima,31.5925,130.5687868
Kochi,33.52416667,133.5570671
Kushiro,42.98861111,144.3522968
Niihama,33.97083333,133.2595406
Oita,33.27222222,131.6760306
Shimonoseki,33.93444444,130.9010601
Tomakomai,42.6375,141.6533569
Toyama,36.75722222,137.2226737
Ube,33.93833333,131.2377503
Malindi,-3.213611111,40.12302709
Trincomalee,8.558333333,81.20388693
Klaipeda,55.68722222,21.13421673
Safi,32.3075,-9.242697291
Ensenada,31.85083333,-116.6228504
Guaymas,27.91916667,-110.8687868
Manzanillo,19.07055556,-104.3008834
Salina Cruz,16.15722222,-95.20194346
Saipan,15.22583333,145.7349234
Nouadhibou,20.9075,-17.0418139
Luderitz,-26.63777778,15.15371025
Bluefields,12.01194444,-83.75689046
Alesund,62.4725,6.171613663
Batsfjord,70.63416667,29.71772674
Bodo,67.28888889,14.37267373
Hammerfest,70.66722222,23.67108363
Haugesund,59.41222222,5.25565371
Kirkenes,69.72833333,30.05565371
Kristiansund,63.115,7.733333333
Mo i Rana,66.315,14.1237338
Molde,62.73638889,7.157420495
Mosjoen,65.85194444,13.1868669
Narvik,68.43861111,17.41861013
Stavanger,58.97888889,5.737220259
Vadso,70.07111111,29.73757362
Vardo,70.37333333,31.10388693
New Plymouth,-39.05722222,174.0377503
Gisborne,-38.6725,178.0224971
Greymouth,-42.44472222,171.20053
Napier,-39.475,176.9180801
Tauranga,-37.65944444,176.1740872
Wanganui,-39.94416667,174.9895171
Westport,-41.75027778,171.5912839
Whangarei,-35.75111111,174.3426973
Timaru,-44.38916667,171.2542403
Talara,-4.573055556,-81.2746172
Masbate,12.36805556,123.6198469
Subic Bay,14.80833333,120.2747939
Alotau,-10.31277778,150.4510601
Kavieng,-2.584722222,150.7866902
Kieta,-6.215277778,155.626914
Rabaul,-4.241111111,152.1851001
Vanimo,-2.683611111,141.2923439
Ponce,17.96805556,-66.61024735
Sines,37.94277778,-8.867020024
Horta,38.53,-28.62196702
Arkhangelsk,64.5425,40.55636042
Murmansk,68.9725,33.04146054
Tiksi,71.64305556,128.8728504
Jizan,16.89027778,42.5352768
Berbera,10.44083333,45.0
Nieuw Nickerie,5.951666667,-57.00176678
Malmo,55.62555556,13.00159011
Gavle,60.68444444,17.19269729
Halmstad,56.655,12.85
Helsingborg,56.03333333,12.68757362
Hudiksvall,61.72166667,17.11861013
Kalmar,56.65916667,16.36914016
Ornskoldsvik,63.27611111,18.72585395
