name,elevation,latitude,longitude
Ge/nyen,6204,29.80750000,99.60583333
Hawkes Heights,2000,-73.53333333,169.70000000
Nevado Ampato,6288,-15.82166667,-71.87916667
Grand Teton,4197,43.74111111,-110.80250000
Yao Shan,4050,27.21333333,103.07750000
Surukwat Kangri,6792,36.28833333,76.38833333
Gunong Yong Belar,2180,4.65000000,101.36166667
Volcan de Agua,3761,14.46583333,-90.74333333
Mt. Cairnes,2810,60.86805556,-138.27638889
Cerro Parinacota,6342,-18.16583333,-69.14166667
Gora Tardoki-Yani,2090,48.89666667,138.05333333
Oshtoran Kuh,4139,33.33916667,49.30333333
Pegunungan Wondiwoi,2180,-2.73333333,134.58416667
Soviet Officers Peak,6233,38.42416667,73.30250000
Tengu-dake,1982,33.76666667,133.11416667
Chatsquot Mtn.,2365,53.14222222,-127.47722222
Tergun Bogd,3957,44.99500000,100.23083333
Tope de Coroa,1979,17.03333333,-25.29583333
K12,7428,35.29500000,77.02166667
Reo Purgyil,6816,31.88472222,78.73555556
Buckwell Peak,2721,59.41861111,-136.76527778
Kuh-e Palvar,4229,30.07000000,57.46583333
Kambalny V.,2161,51.30583333,156.87583333
Double Cone,2319,-45.07083333,168.80861111
Saraghrar,7338,36.54750000,72.11666667
Kuh-e Nay Band,2960,32.44083333,57.36916667
Khvoshkuh,2650,27.61333333,56.66916667
Gunung Murud,2423,3.90500000,115.48833333
Bey Daglari,3070,36.60250000,30.12166667
Huanggang Shan,2170,27.86083333,117.78416667
Nevado Chachani,6057,-16.19416667,-71.53166667
K6,7282,35.41666667,76.55083333
Pik Patkhor,6080,37.88916667,72.18916667
Dradullungshog,6282,34.79833333,99.46250000
Cerro las Conchas,2890,18.72000000,-102.97333333
Lapche Kang,7367,28.30416667,86.35083333
Volcan Antofalla,6440,-25.56250000,-67.88083333
Ancohuma,6427,-15.85333333,-68.54083333
Paramo Frontino,3950,6.45666667,-76.12250000
Ortlés,3905,46.50888889,10.54472222
Olympos,1952,34.93833333,32.86111111
Cerro Fitzroy,3405,-49.27166667,-73.04666667
Serra Imeri,2500,0.49083333,-65.33333333
Mt. Isarog,2000,13.65916667,123.37333333
Angilaaq Mtn.,1951,73.22833333,-78.62083333
Nenang,6870,30.30333333,93.64916667
Mt. Matutum,2286,6.36000000,125.07583333
